ds,series,budget,seasonal_baseline,recent_baseline,trend_projection
2017-09-01,Total,41784.4222077922,40250.0,43115.0,43624.61103896102
2017-10-01,Total,42554.71734791524,41742.0,43115.0,43746.086739576196
2017-11-01,Total,42020.01248803827,40624.0,43115.0,43867.56244019137
2017-12-01,Total,42213.30762816131,40962.0,43115.0,43989.038140806544
2018-01-01,Total,41254.10276828434,38995.0,43115.0,44110.513841421714
2018-02-01,Total,40126.89790840738,36692.0,43115.0,44231.98954203689
2018-03-01,Total,42411.69304853041,41213.0,43115.0,44353.46524265206
2018-04-01,Total,41869.48818865345,40080.0,43115.0,44474.94094326724
2018-05-01,Total,42579.78332877648,41452.0,43115.0,44596.41664388241
2018-06-01,Total,42098.07846889952,40440.0,43115.0,44717.89234449759
2018-07-01,Total,42879.87360902255,41955.0,43115.0,44839.36804511276
2018-08-01,Total,41865.16874914559,39877.0,43115.0,44960.843745727936
