"date","location","category","payment_location","payment_status","payment_mode","membership_product","gross_member_count","gross_amount"
"2021-04-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","700.0"
"2022-04-04","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","18","12600.0"
"2022-04-05","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","14","9800.0"
"2022-04-06","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","7700.0"
"2022-04-07","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1400.0"
"2022-04-08","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","3500.0"
"2022-04-09","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","7","5250.0"
"2022-04-10","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","11","7700.0"
"2022-04-11","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","3800.0"
"2022-04-12","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","2800.0"
"2022-04-13","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","5","3500.0"
"2022-04-14","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","3150.0"
"2022-04-17","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1750.0"
"2022-04-19","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1400.0"
"2022-04-22","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1100.0"
"2022-04-23","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","2450.0"
"2022-04-24","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","1750.0"
"2022-04-25","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","700.0"
"2022-04-26","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","700.0"
"2022-04-30","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","1","300.0"
"2022-05-01","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","4","1450.0"
"2022-05-02","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","3","875.0"
"2022-05-03","AHP","DIRECT","POINT OF SALES","PAID","CASH","1 MONTH","2","650.0"
